sample	dataset	organism	day	original.annotation	new.identity
MFI172_sc30	Ma	Cynomolgus.macaque	17	L-AM1	cyAME.L2
MFI172_sc35	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc37	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L3
MFI172_sc46	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI172_sc51	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc59	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc60	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc63	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc66	Ma	Cynomolgus.macaque	17	L-AM1	cyAME.L2
MFI172_sc68	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI172_sc70	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc76	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI172_sc88	Ma	Cynomolgus.macaque	17	L-Gast2	cyGast3
MFI172_sc92	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc95	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI173_sc05	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI173_sc07	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc08	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc11	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI173_sc14	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc15	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI173_sc17	Ma	Cynomolgus.macaque	17	L-AM2	cyAME.L3
MFI173_sc25	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc33	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI173_sc38	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI173_sc50	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc68	Ma	Cynomolgus.macaque	17	EXMC	cyEVT
MFI173_sc70	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI173_sc78	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc83	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI173_sc87	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI173_sc89	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
